Book series,Author(s),Original language,No. of installments,Years of Publication,Approximate sales
Harry Potter,J. K. Rowling,English,7 + 3 companion books + 4 scripts,1997–2007,600 million[13][192][193]
Goosebumps,R. L. Stine,English,62 + spin-off series,1992–present,400 million[194]
Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933–1973,300 million[195]
Diary of a Wimpy Kid,Jeff Kinney,English,19 + 5 spin-offs,2007–present,290 million[196]
Berenstain Bears,Stan and Jan Berenstain,English,428,1962–present,260 million[197]
Choose Your Own Adventure,Various authors,English,185+,1979–present,250 million[198]
Sweet Valley High,Francine Pascal and ghostwriters,English,400,1983–2003,250 million[199]
The Railway Series,"Rev. W. Awdry, Christopher Awdry",English,42,1945–2011,201 million[200]
Noddy,Enid Blyton,English,24,1949–present,200 million[201]
Nancy Drew,Various authors as Carolyn Keene,English,175,1930–present,200 million[202]
San-Antonio,Frédéric Dard,French,173,1949–2001,200 million[203]
Robert Langdon,Dan Brown,English,5,2000–present,200 million[204]
Geronimo Stilton,Elisabetta Dami,Italian,200+,1997–present,180 million[205]
Percy Jackson & the Olympians,Rick Riordan,English,7 + 5 companion books + 4 spin-off series,2005–present,180 million[206]
The Baby-sitters Club,Ann Martin,English,335,1986–present,172 million[207]
Twilight,Stephenie Meyer,English,4 + 2 companion books + 1 novella,2005–2020,160 million[208]
Star Wars,Various authors,English,over 300,1977–present,160 million[209]
Little Critter,Mercer Mayer,English,over 200,1975–present,150 million[210]
Peter Rabbit,Beatrix Potter,English,6,1902–1930,150 million[211]
Fifty Shades,E. L. James,English,3,2011–2015,150 million[212]
American Girl,Various authors,English,141 + spin-off series,1986–present,160 million[213]
Chicken Soup for the Soul,"Jack Canfield, Mark Victor Hansen",English,105,1997–present,130 million[214]
Clifford the Big Red Dog,Norman Bridwell,English,over 80[215],1963–2014,129 million[216]
Frank Merriwell,Gilbert Patten,English,209,1896–1936,125 million[217]
Dirk Pitt,Clive Cussler,English,24,1973–present,120 million[218]
宮本武蔵 (Musashi),Eiji Yoshikawa,Japanese,7,1935–1939,120 million[219]
The Chronicles of Narnia,C. S. Lewis,English,7,1950–1956,120 million[220]
Mr. Men,"Roger Hargreaves, Adam Hargreaves",English,43,1971–present,120 million[221]
SAS,Gérard de Villiers,French,200,1965–2013,120 million[222][223]
The Hunger Games,Suzanne Collins,English,4,2008–present,100 million[224]
James Bond,Ian Fleming,English,14,1953–1966,100 million[225]
Martine,"Gilbert Delahaye, Marcel Marlier",French,60,1954–2014,100 million[226]
Millennium,"Stieg Larsson, David Lagercrantz",Swedish,6,2005–present,100 million[227]
A Song of Ice and Fire,George R. R. Martin,English,5 + 3 novellas + 1 guide,1996–present,90 million[228]
The Wheel of Time,"Robert Jordan, Brandon Sanderson",English,15,1990–2013,100 million[229]
Discworld,Terry Pratchett,English,42,1983–2015,90 million[230]
Nijntje (Miffy),Dick Bruna,Dutch,119,1955–present,85 million[231]
Alex Cross,James Patterson,English,21,1993–present,81 million[232]
Anpanman (アンパンマン),Takashi Yanase,Japanese,150 picture books,1973–2013,80 million[233]
Captain Underpants,Dav Pilkey,English,12 plus spinoffs,1997–2015,80 million[234]
Fear Street,R. L. Stine,English,114,1989–present,80 million[235]
Pippi Långstrump (Pippi Longstocking),Astrid Lindgren,Swedish,3 + 3 picture books,1945–2001,80 million[236]
The Vampire Chronicles,Anne Rice,English,13,1976–2021,80 million[237]
OSS 117,Jean Bruce,French,265,1949–1992,75 million[238]
Winnie-the-Pooh,A. A. Milne; illustrated by E. H. Shepard,English,2,1926–1928,70 million[239]
Magic Tree House series,Mary Pope Osborne,English,56[240],1992–present,70 million[241]
Left Behind,"Tim LaHaye, Jerry B. Jenkins",English,16,1996–2007,65 million[242]
A Series of Unfortunate Events,Lemony Snicket aka Daniel Handler,English,13,1999–2006,65 million[243]
Little House on the Prairie,Laura Ingalls Wilder,English,12,1932–2006,60 million[244]
All Creatures Great and Small,"Alf Wight, as James Herriot",English,8,1970–1992,60 million[245]
Jack Reacher,Lee Child,English,22 Novels + 11 Short Stories,1997–present,60 million[246]
The Magic School Bus,"Joanna Cole, illustrated by Bruce Degen",English,131,1986–2010,58 million[247]
Where's Wally?[248],Martin Handford,English,13,1987–present,55 million[249]
"Men Are from Mars, Women Are from Venus",John Gray,English,15,1992–present,50 million[250]
The Hardy Boys,Various authors as Franklin W. Dixon,English,190,1927–present,50 million[251]
The Bobbsey Twins,Various authors as Laura Lee Hope,English,72,1904–1979,50 million[252]
Tarzan,Edgar Rice Burroughs,English,26,1914–1995,50 million[253]
The Shadowhunter Chronicles,Cassandra Clare,English,14 + 8 companion books,2007–present,50 million[254]
Earth's Children,Jean M. Auel,English,6,1980–2011,45 million[255]
A Child's First Library of Learning,Various authors,English,29,1980–,45 million[256]
Junie B. Jones,Barbara Park,English,30,1992–2013,44 million[257]
Harry Bosch,Michael Connelly,English,15,1992–,42 million[258]
Harry Hole,Jo Nesbø,Norwegian,9,1997–present,40 million[259]
Warriors,Erin Hunter,English,78,2003–present,40 million[260]
连环画 铁道游击队 (Picture-and-story book Railway Guerilla),original author: Liu Zhixia [zh],Chinese,10,1955–1962,36.52 million[261]
かいけつゾロリ (Kaiketsu Zorori),Yutaka Hara,Japanese,60,1987–present,35 million[262]
Paddington Bear,Michael Bond,English,70,1958–present,35 million[263]
Animorphs,K A Applegate and ghostwriters,English,54,1996-2001,35 million[264]
Divergent trilogy,Veronica Roth,English,3 + 1 companion book,2011–2013,35 million[265]
ノンタン (Nontan),Sachiko Kiyono,Japanese,40,1976–2016,33.6 million[266]
グイン・サーガ (Guin Saga),"Kaoru Kurimoto, Yu Godai",Japanese,149,1979–2024,33 million[267]
The Inheritance Cycle,Christopher Paolini,English,5 + 1 companion book,2002–2023,33 million[268]
"Rich Dad, Poor Dad","Robert Kiyosaki, Sharon Lechter",English,18,1997–,32 million[269]
とある魔術の禁書目録 (Toaru Majutsu no Index),Kazuma Kamachi,Japanese,46,2004–,30 million[270]
徳川家康 [ja] (Tokugawa Ieyasu),Sōhachi Yamaoka,Japanese,26,1950–1967,30 million[271]
Ramona,Beverly Cleary,English,8,1955–1999,30 million[272]
The Dark Tower,Stephen King,English,8,1982–2012,30 million[273]
Dork Diaries,Rachel Renée Russell,English,15,2009–2018,30 million[274]
The Destroyer,"Warren Murphy and Richard Sapir, various authors",English,150,1971–present,30 million[275]
地球往事 (Remembrance of Earth's Past),Liu Cixin,Chinese,3,2008–2010,29 million[276]
三毛猫ホームズシリーズ [ja] (Calico Cat Holmes series),Jirō Akagawa,Japanese,43,1978–present,28 million[277]
Curious George,Hans Augusto Rey and Margret Rey,English,58,1941–present,27 million[278]
Shannara,Terry Brooks,English,20,1977–present,26 million[279]
Kurt Wallander,Henning Mankell,Swedish,10,1991–2002,25 million[280]
Sagan om Isfolket (The Legend of the Ice People),Margit Sandemo,Swedish,47,1982–1989,25 million[281]
The Sword of Truth,Terry Goodkind,English,21,1998–present,25 million[282]
Outlander,Diana Gabaldon,English,8,1991–present,25 million[283]
ズッコケ三人組 [ja] (Zukkoke Sanningumi),Masamoto Nasu,Japanese,50,1978–2004,25 million[284]
鬼平犯科帳 (Onihei Hankachō),Shōtarō Ikenami,Japanese,24,1968–1990,"24.4 million, only bunkobon[285]"
Brain Quest,Various authors,English,,1992–present,23.7 million[286]
South Beach Diet,Arthur Agatston,English,6,2003–present,22 million[287]
ソードアート・オンライン (Sword Art Online),Reki Kawahara,Japanese,27,2009–present,30 million[288]
竜馬がゆく [ja] (Ryoma ga Yuku),Ryōtarō Shiba,Japanese,5,1963–1966,21.5 million[289]
Artemis Fowl,Eoin Colfer,English,8 + 1 companion book,2001–2012,21 million[290]
The Cosmere,Brandon Sanderson,English,30+[291],2005–present,21 Million [292]
Dune series,Frank Herbert,English,30+,1965,20 million[121]
I Survived,Lauren Tarshis,English,25,2010–2020,more than 20 million[293][294]
Découvertes Gallimard,Various authors,French,more than 700,1986–present,more than 20 million[295][296]
Redwall,Brian Jacques,English,22,1986–2011,20 million[297]
Maisy,Lucy Cousins,English,23,1990–present,20 million[135]
Dragonlance,Various authors,English,more than 150,1984–present,20 million[298]
幻魔大戦 (Genma Taisen),Kazumasa Hirai,Japanese,20,1979–1983,20 million[299]
青春の門 (The Gate of Youth),Hiroyuki Itsuki,Japanese,,1970–present,20 million[300]
スレイヤーズ (Slayers),Hajime Kanzaka,Japanese,50,1989–present,20 million[301]
The Foundation Trilogy,Isaac Asimov,English,3[302],1950–1953,20 million[303]
Horrible Histories,Terry Deary,English,24,1993–present,20 million[304]
Rainbow Magic,Daisy Meadows,English,80+,2003–present,20 million[305]
Morgan Kane,Louis Masterson,Norwegian,90,1966–,20 million[306]
The Southern Vampire Mysteries,Charlaine Harris,English,13,2001–2013,20 million[307]
Doc Savage,"Lester Dent, various authors",English,203,1933–present,20 million[308]
涼宮ハルヒシリーズ (Haruhi Suzumiya Series),Nagaru Tanigawa,Japanese,11,2003–present,20 million[309]
一億人の昭和史 (1-oku nin no Shōwa shi / Shōwa History of 100 million people),"Tomiyasu Takahara, Various authors",Japanese,95,1975-1980,19 million[310]
科学のアルバム (Kagaku no album / Science's Album),Various authors,Japanese,,1970–present,19 million[311]
剣客商売 (Kenkaku Shōbai),Shotaro Ikenami,Japanese,18,1972–1989,18 million[312]
Erast Fandorin series,Boris Akunin,Russian,12,1998–present,18 million[313]
Dragonriders of Pern,Anne McCaffrey,English,23,1967–present,18 million[314]
吸血鬼ハンターD (Vampire Hunter D),Hideyuki Kikuchi,Japanese,39,1983–present,17 million[315]
The Hitchhiker's Guide to the Galaxy,"Douglas Adams, plus a final book by Eoin Colfer",English,6,1979–2008,16 million[316][317]
ぼくらシリーズ [ja] (Bokura series),Osamu Soda,Japanese,36,1985–present,15 million[318]
Bridget Jones,Helen Fielding,English,3,1996–present,15 million[319]
His Dark Materials,Philip Pullman,English,3,1995–2000,15 million[320]
銀河英雄伝説 (Legend of the Galactic Heroes),Yoshiki Tanaka,Japanese,14,1982–1989,15 million[321]
The No. 1 Ladies Detective Agency,Alexander McCall Smith,English,23,1999–present,15 million[322]
Der Regenbogenfisch (Rainbow Fish),Marcus Pfister,German,,1992–present,15 million[323]
The Riftwar Cycle,Raymond E. Feist,English,25,1982–present,15 million[324]
The Thrawn trilogy,Timothy Zahn,English,3,1991–93,15 million[325]
Wiedźmin (The Witcher),Andrzej Sapkowski,Polish,9,1990–2013,15 million[326]
14ひきのシリーズ [ja] (The family of fourteen),Kazuo Iwamura [ja],Japanese,,1983-present,15 million[327]
